iter	Passed	Remaining
667	17629	8761
668	17658	8736
669	17686	8711
670	17716	8686
671	17744	8661
672	17774	8636
673	17803	8611
674	17835	8587
675	17862	8561
676	17892	8536
677	17920	8511
678	17947	8484
679	17973	8458
680	17999	8431
681	18025	8404
682	18052	8378
683	18079	8352
684	18105	8326
685	18133	8299
686	18159	8273
687	18184	8246
688	18209	8219
689	18235	8192
690	18261	8166
691	18289	8140
692	18318	8114
693	18348	8090
694	18376	8064
695	18406	8039
696	18436	8014
697	18469	7991
698	18497	7965
699	18524	7939
700	18552	7913
701	18579	7887
702	18607	7861
703	18641	7837
704	18671	7812
705	18704	7789
706	18735	7764
707	18769	7740
708	18806	7719
709	18837	7694
710	18872	7671
711	18909	7648
712	18940	7624
713	18973	7600
714	19007	7576
715	19037	7551
716	19065	7525
717	19093	7499
718	19119	7472
719	19147	7446
720	19175	7420
721	19204	7394
722	19231	7368
723	19260	7342
724	19288	7316
725	19314	7289
726	19342	7263
727	19370	7237
728	19400	7211
729	19428	7185
730	19457	7160
731	19484	7133
732	19510	7106
733	19537	7080
734	19566	7054
735	19594	7028
736	19620	7001
737	19648	6975
738	19682	6951
739	19708	6924
740	19738	6899
741	19770	6874
742	19809	6851
743	19879	6840
744	19918	6817
745	19944	6790
746	19972	6764
747	19999	6737
748	20028	6711
749	20056	6685
750	20088	6660
751	20117	6634
752	20147	6608
753	20176	6582
754	20205	6556
755	20236	6531
756	20267	6506
757	20296	6479
758	20327	6454
759	20357	6428
760	20386	6402
761	20416	6376
762	20446	6350
763	20476	6325
764	20507	6299
765	20535	6273
766	20562	6246
767	20591	6220
768	20619	6193
769	20645	6166
770	20674	6140
771	20702	6114
772	20730	6087
773	20758	6061
774	20786	6034
775	20813	6008
776	20840	5981
777	20868	5954
778	20895	5927
779	20923	5901
780	20949	5874
781	20975	5847
782	21002	5820
783	21030	5794
784	21058	5767
785	21085	5740
786	21112	5714
787	21139	5687
788	21165	5660
789	21190	5633
790	21217	5606
791	21244	5579
792	21272	5552
793	21299	5526
794	21325	5499
795	21352	5472
796	21379	5445
797	21407	5418
798	21434	5392
799	21460	5365
800	21486	5338
801	21512	5311
802	21542	5284
803	21570	5258
804	21598	5231
805	21626	5205
806	21657	5179
807	21687	5153
808	21718	5127
809	21746	5100
810	21777	5075
811	21805	5048
812	21832	5021
813	21857	4994
814	21883	4967
815	21911	4940
816	21939	4914
817	21965	4887
818	21995	4861
819	22023	4834
820	22049	4807
